country,region,lat,long,country_code,decade,value
Jamaica,North America,18.109581,-77.297508,JAM,1990,79.950053523
Jamaica,North America,18.109581,-77.297508,JAM,2000,88.249743523
Jamaica,North America,18.109581,-77.297508,JAM,2010,94.7105755266667
Japan,Asia,36.204824,138.252924,JPN,1990,100.0
Japan,Asia,36.204824,138.252924,JPN,2000,100.0
Japan,Asia,36.204824,138.252924,JPN,2010,100.0
Jordan,Asia,30.585164,36.238414,JOR,1990,98.094295806
Jordan,Asia,30.585164,36.238414,JOR,2000,99.000754631
Jordan,Asia,30.585164,36.238414,JOR,2010,99.5792090522222
Kazakhstan,Asia,48.019573,66.923684,KAZ,1990,98.61316803
Kazakhstan,Asia,48.019573,66.923684,KAZ,2000,99.428650614
Kazakhstan,Asia,48.019573,66.923684,KAZ,2010,99.8876188244444
Kenya,Africa,-0.023559,37.906193,KEN,1990,8.69061029328571
Kenya,Africa,-0.023559,37.906193,KEN,2000,23.193511964
Kenya,Africa,-0.023559,37.906193,KEN,2010,47.0235086222222
Kiribati,Oceania,-3.370417,-168.734039,KIR,1990,
Kiribati,Oceania,-3.370417,-168.734039,KIR,2000,67.997139124
Kiribati,Oceania,-3.370417,-168.734039,KIR,2010,85.5154526933333
North Korea,Asia,40.339852,127.510093,PRK,1990,
North Korea,Asia,40.339852,127.510093,PRK,2000,26.0
North Korea,Asia,40.339852,127.510093,PRK,2010,38.8538324555556
South Korea,Asia,35.907757,127.766922,KOR,1990,99.996593475
South Korea,Asia,35.907757,127.766922,KOR,2000,100.0
South Korea,Asia,35.907757,127.766922,KOR,2010,100.0
Kosovo,Europe,42.602636,20.902977,XKX,1990,
Kosovo,Europe,42.602636,20.902977,XKX,2000,
Kosovo,Europe,42.602636,20.902977,XKX,2010,99.8666666666667
Kuwait,Asia,29.31166,47.481766,KWT,1990,100.0
Kuwait,Asia,29.31166,47.481766,KWT,2000,100.0
Kuwait,Asia,29.31166,47.481766,KWT,2010,100.0
Kyrgyzstan,Asia,41.20438,74.766098,KGZ,1990,99.7439615866667
Kyrgyzstan,Asia,41.20438,74.766098,KGZ,2000,99.61385052
Kyrgyzstan,Asia,41.20438,74.766098,KGZ,2010,99.6994172833333
Laos,Asia,19.85627,102.495496,LAO,1990,32.3246855071429
Laos,Asia,19.85627,102.495496,LAO,2000,54.802232854
Laos,Asia,19.85627,102.495496,LAO,2010,83.4940221411111
Latvia,Europe,56.879635,24.603189,LVA,1990,100.0
Latvia,Europe,56.879635,24.603189,LVA,2000,100.0
Latvia,Europe,56.879635,24.603189,LVA,2010,100.0
Lebanon,Asia,33.854721,35.862285,LBN,1990,
Lebanon,Asia,33.854721,35.862285,LBN,2000,99.7452075616667
Lebanon,Asia,33.854721,35.862285,LBN,2010,99.9505180211111
Lesotho,Africa,-29.609988,28.233608,LSO,1990,
Lesotho,Africa,-29.609988,28.233608,LSO,2000,8.7916875735
Lesotho,Africa,-29.609988,28.233608,LSO,2010,29.1085118777778
Liberia,Africa,6.428055,-9.429499,LBR,1990,
Liberia,Africa,6.428055,-9.429499,LBR,2000,2.047794032
Liberia,Africa,6.428055,-9.429499,LBR,2010,13.7576694275556
Libya,Africa,26.3351,17.228331,LBY,1990,
Libya,Africa,26.3351,17.228331,LBY,2000,90.1345045311111
Libya,Africa,26.3351,17.228331,LBY,2010,74.8216874855555
Liechtenstein,Europe,47.166,9.555373,LIE,1990,100.0
Liechtenstein,Europe,47.166,9.555373,LIE,2000,100.0
Liechtenstein,Europe,47.166,9.555373,LIE,2010,100.0
Lithuania,Europe,55.169438,23.881275,LTU,1990,100.0
Lithuania,Europe,55.169438,23.881275,LTU,2000,100.0
Lithuania,Europe,55.169438,23.881275,LTU,2010,100.0
Luxembourg,Europe,49.815273,6.129583,LUX,1990,100.0
Luxembourg,Europe,49.815273,6.129583,LUX,2000,100.0
Luxembourg,Europe,49.815273,6.129583,LUX,2010,100.0
"Macao SAR, China",Asia,22.198745,113.543873,MAC,1990,100.0
"Macao SAR, China",Asia,22.198745,113.543873,MAC,2000,100.0
"Macao SAR, China",Asia,22.198745,113.543873,MAC,2010,100.0
Madagascar,Africa,-18.766947,46.869107,MDG,1990,11.23676867625
Madagascar,Africa,-18.766947,46.869107,MDG,2000,16.077295399
Madagascar,Africa,-18.766947,46.869107,MDG,2010,19.5615059744444
Malawi,Africa,-13.254308,34.301525,MWI,1990,2.8028789995
Malawi,Africa,-13.254308,34.301525,MWI,2000,6.2632616906
Malawi,Africa,-13.254308,34.301525,MWI,2010,10.7911111111111
Malaysia,Asia,4.210484,101.975766,MYS,1990,
Malaysia,Asia,4.210484,101.975766,MYS,2000,99.3
Malaysia,Asia,4.210484,101.975766,MYS,2010,99.8283645633333
Maldives,Asia,3.202778,73.22068,MDV,1990,
Maldives,Asia,3.202778,73.22068,MDV,2000,90.886425323
Maldives,Asia,3.202778,73.22068,MDV,2010,99.7067927044445
Mali,Africa,17.570692,-3.996166,MLI,1990,5.7072194695
Mali,Africa,17.570692,-3.996166,MLI,2000,17.1133748082
Mali,Africa,17.570692,-3.996166,MLI,2010,36.15578537
Malta,Europe,35.937496,14.375416,MLT,1990,100.0
Malta,Europe,35.937496,14.375416,MLT,2000,100.0
Malta,Europe,35.937496,14.375416,MLT,2010,100.0
Marshall Islands,7.131474,171.184478,MHL,1990,68.52423588
Marshall Islands,7.131474,171.184478,MHL,2000,74.558994749
Marshall Islands,7.131474,171.184478,MHL,2010,92.1439850722222
Mauritania,21.00789,-10.940835,MRT,1990,
Mauritania,21.00789,-10.940835,MRT,2000,25.5924144577778
Mauritania,21.00789,-10.940835,MRT,2010,38.8822516544444
Mauritius,-20.348404,57.552152,MUS,1990,
Mauritius,-20.348404,57.552152,MUS,2000,98.718816224
Mauritius,-20.348404,57.552152,MUS,2010,97.8968410922222
Mexico,23.634501,-102.552784,MEX,1990,95.59904171
Mexico,23.634501,-102.552784,MEX,2000,98.269645506
Mexico,23.634501,-102.552784,MEX,2010,99.3873339522222
Micronesia,7.425554,150.550812,FSM,1990,
Micronesia,7.425554,150.550812,FSM,2000,54.554020311
Micronesia,7.425554,150.550812,FSM,2010,73.5068049288889
Moldova,47.411631,28.369885,MDA,1990,
Moldova,47.411631,28.369885,MDA,2000,99.5875
Moldova,47.411631,28.369885,MDA,2010,100.0
Monaco,43.750298,7.412841,MCO,1990,100.0
Monaco,43.750298,7.412841,MCO,2000,100.0
Monaco,43.750298,7.412841,MCO,2010,100.0
Mongolia,46.862496,103.846656,MNG,1990,
Mongolia,46.862496,103.846656,MNG,2000,76.376811676
Mongolia,46.862496,103.846656,MNG,2010,85.7872189066667
Montenegro,42.708678,19.37439,MNE,1990,
Montenegro,42.708678,19.37439,MNE,2000,99.966044142
Montenegro,42.708678,19.37439,MNE,2010,99.6
Morocco,31.791702,-7.09262,MAR,1990,59.65054550125
Morocco,31.791702,-7.09262,MAR,2000,80.068080443
Morocco,31.791702,-7.09262,MAR,2010,96.2376391933333
Mozambique,-18.665695,35.529562,MOZ,1990,4.917127959
Mozambique,-18.665695,35.529562,MOZ,2000,10.5497168359
Mozambique,-18.665695,35.529562,MOZ,2010,24.36191173
Myanmar,21.913965,95.956223,MMR,1990,
Myanmar,21.913965,95.956223,MMR,2000,48.2551774975
Myanmar,21.913965,95.956223,MMR,2010,57.55607779888890
Namibia,-22.95764,18.49041,NAM,1990,30.2906611425
Namibia,-22.95764,18.49041,NAM,2000,39.738058167
Namibia,-22.95764,18.49041,NAM,2010,48.5486195877778
Nauru,-0.522778,166.931503,NRU,1990,
Nauru,-0.522778,166.931503,NRU,2000,99.34095408
Nauru,-0.522778,166.931503,NRU,2010,99.2615000422222
Nepal,28.394857,84.124008,NPL,1990,19.536587335
Nepal,28.394857,84.124008,NPL,2000,43.435199165
Nepal,28.394857,84.124008,NPL,2010,81.8030966533333
Netherlands,52.132633,5.291266,NLD,1990,100.0
Netherlands,52.132633,5.291266,NLD,2000,100.0
Netherlands,52.132633,5.291266,NLD,2010,100.0
New Caledonia,-20.904305,165.618042,NCL,1990,99.976987458
New Caledonia,-20.904305,165.618042,NCL,2000,100.0
New Caledonia,-20.904305,165.618042,NCL,2010,100.0
New Zealand,-40.900557,174.885971,NZL,1990,100.0
New Zealand,-40.900557,174.885971,NZL,2000,100.0
New Zealand,-40.900557,174.885971,NZL,2010,100.0
Nicaragua,12.865416,-85.207229,NIC,1990,70.2916154028572
Nicaragua,12.865416,-85.207229,NIC,2000,75.298502234
Nicaragua,12.865416,-85.207229,NIC,2010,82.9233886588889
Niger,17.607789,8.081666,NER,1990,5.81434265375
Niger,17.607789,8.081666,NER,2000,9.4861910183
Niger,17.607789,8.081666,NER,2010,15.8180457644444
Nigeria,9.081999,8.675277,NGA,1990,37.555050202
Nigeria,9.081999,8.675277,NGA,2000,47.540948388
Nigeria,9.081999,8.675277,NGA,2010,54.4886918811111
North Macedonia,41.608635,21.745275,MKD,1990,
North Macedonia,41.608635,21.745275,MKD,2000,99.35
North Macedonia,41.608635,21.745275,MKD,2010,99.9695737555556
Northern Mariana Islands,17.33083,145.38469,MNP,1990,99.986827088
Northern Mariana Islands,17.33083,145.38469,MNP,2000,99.984524536
Northern Mariana Islands,17.33083,145.38469,MNP,2010,100.0
Norway,60.472024,8.468946,NOR,1990,100.0
Norway,60.472024,8.468946,NOR,2000,100.0
Norway,60.472024,8.468946,NOR,2010,100.0
Oman,21.512583,55.923255,OMN,1990,100.0
Oman,21.512583,55.923255,OMN,2000,99.999981689
Oman,21.512583,55.923255,OMN,2010,100.0
Pakistan,30.375321,69.345116,PAK,1990,70.378967745
Pakistan,30.375321,69.345116,PAK,2000,70.443097688
